ExtensibilityAPI_Version,2.0.8.0
SqlMacroFullyConvertedOccurrences,0
SqlMacroTotalWarnings,0
SqlMacroTotalLinesOfCode,0
SqlMacroTotalCharacters,0
SqlMacroTotalParsingErrors,0
SqlMacroTotalConversionErrors,0
SqlMacroCharacterConversionRate,0
ScriptMacroObjectConversionRate,0
ScriptMacroLoCConversionRate,0
ScriptMacroTotalOccurrences,0
ScriptMacroFullyConvertedOccurrences,0
ScriptMacroTotalWarnings,0
ScriptMacroTotalLinesOfCode,0
ScriptMacroTotalCharacters,0
ScriptMacroTotalParsingErrors,0
ScriptMacroTotalConversionErrors,0
ScriptMacroCharacterConversionRate,0
JoinIndexObjectConversionRate,0
JoinIndexLoCConversionRate,0
JoinIndexTotalOccurrences,0
JoinIndexFullyConvertedOccurrences,0
JoinIndexTotalWarnings,0
JoinIndexTotalLinesOfCode,0
JoinIndexTotalCharacters,0
JoinIndexTotalParsingErrors,0
JoinIndexTotalConversionErrors,0
JoinIndexCharacterConversionRate,0
SqlJoinIndexObjectConversionRate,0
SqlJoinIndexLoCConversionRate,0
SqlJoinIndexTotalOccurrences,0
SqlJoinIndexFullyConvertedOccurrences,0
SqlJoinIndexTotalLinesOfCode,0
SqlJoinIndexTotalCharacters,0
SqlJoinIndexTotalParsingErrors,0
SqlJoinIndexTotalWarnings,0
SqlJoinIndexTotalConversionErrors,0
SqlJoinIndexCharacterConversionRate,0
ScriptJoinIndexObjectConversionRate,0
ScriptJoinIndexLoCConversionRate,0
ScriptJoinIndexTotalOccurrences,0
ScriptJoinIndexFullyConvertedOccurrences,0
ScriptJoinIndexTotalWarnings,0
ScriptJoinIndexTotalLinesOfCode,0
ScriptJoinIndexTotalCharacters,0
ScriptJoinIndexTotalParsingErrors,0
ScriptJoinIndexTotalConversionErrors,0
ScriptJoinIndexCharacterConversionRate,0
SqlIndexTotalOccurrences,0
SqlIndexTotalParsingErrors,0
SqlIndexTotalConversionErrors,0
SqlIndexTotalLinesOfCode,0
FetchFirstOccurences,0
ProceduresWithFetchFirstOccurences,0
UpdateWhereCurrentOfOccurences,0
ProceduresWithUpdateWhereCurrentOfOccurences,0
DeleteWhereCurrentOfOccurences,0
ProceduresWithDeleteWhereCurrentOfOccurences,0
CursorForLoopOccurences,0
ProceduresWithCursorForLoopOccurences,0
JoinIndexesReferencingMultipleObjects,0
ViewsWithSelectAsteriskOnly,0
CaseInsensitiveCollationColumns,0
TablesWithCaseInsensitiveCollationColumns,0
ProceduresWithDynamicProcedureCallStatements,0
CommentObjectsWithMissingDependencies,Off
CustomDatabaseName,None
CustomSchemaName,None
DisableEwiCommentsGeneration,Off
EncodingOfTheInputFiles,Unicode (UTF-8)
JavaScriptAsTargetLanguage,Off
PrepareMyCodeForConversion,Off
SnowflakeScriptingAsTargetLanguage,On
UseCharactersConversionRate,Off
UseExistingNameQualification,Off
UseLinesOfCodeConversionRate,On
UseNoneSchema,On
BteqTargetLanguage,Python
CharacterToNumberDefaultScale,10
DefaultDateFormat,YYYY/MM/DD
DefaultTimeFormat,HH:MI:SS
DefaultTimestampFormat,YYYY/MM/DD HH:MI:SS
DefaultTimezoneFormat,GMT-5
GenerateXmlTagsForSqlStatementsInStoredProcedures,Off
KeepTeradataDatabaseAsSnowflakeDataWarehouse,Off
ProceduresMacrosTargetLanguage,Snowflake Scripting
SqlTriggerObjectConversionRate,0
SqlTriggerCharacterConversionRate,0
SqlTriggerLoCConversionRate,0
SqlTriggerTotalOccurrences,0
SqlTriggerFullyConvertedOccurrences,0
SqlTriggerTotalCharacters,0
SqlTriggerTotalLinesOfCode,0
SqlTriggerTotalParsingErrors,0
SqlTriggerTotalConversionErrors,0
SqlTriggerTotalWarnings,0
ScriptTriggerObjectConversionRate,0
ScriptTriggerCharacterConversionRate,0
ScriptTriggerLoCConversionRate,0
ScriptTriggerTotalOccurrences,0
ScriptTriggerFullyConvertedOccurrences,0
ScriptTriggerTotalCharacters,0
ScriptTriggerTotalLinesOfCode,0
ScriptTriggerTotalParsingErrors,0
ScriptTriggerTotalConversionErrors,0
ScriptTriggerTotalWarnings,0
TriggerObjectConversionRate,0
TriggerCharacterConversionRate,0
TriggerLoCConversionRate,0
